symbol,exchange,mic,name,currency,type,shares_outstanding,last_updated,is_active
ANGX,NYSE,XNYS,"Angel Studios, Inc. Class A Common Stock",USD,Common Stock,89999316,2025-10-19 04:10:34.876734,1
ANVS,NYSE,XNYS,"Annovis Bio, Inc. Common Stock",USD,Common Stock,23302377,2025-10-19 04:10:34.873700,1
AOD,NYSE,XNYS,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,USD,Common Stock,105430999,2025-10-19 04:10:34.878919,1
AOMR,NYSE,XNYS,"Angel Oak Mortgage REIT, Inc. Common Stock",USD,Common Stock,23765202,2025-10-19 04:10:35.002404,1
AON,NYSE,XNYS,Aon plc Class A Ordinary Shares (Ireland),USD,Common Stock,215626597,2025-10-19 04:10:35.060236,1
AORT,NYSE,XNYS,"Artivion, Inc. Common Stock",USD,Common Stock,47183658,2025-10-19 04:10:35.003487,1
AOS,NYSE,XNYS,A.O. Smith Corporation Common Stock,USD,Common Stock,114259519,2025-10-19 04:10:35.520420,1
AP,NYSE,XNYS,Ampco-Pittsburgh Corporation Common Stock,USD,Common Stock,20317030,2025-10-19 04:10:35.133762,1
APD,NYSE,XNYS,"Air Products and Chemicals, Inc. Common Stock",USD,Common Stock,222553640,2025-10-19 04:10:35.418804,1
APG,NYSE,XNYS,APi Group Corporation Common Stock,USD,Common Stock,415888477,2025-10-19 04:10:35.172858,1
APH,NYSE,XNYS,Amphenol Corporation Common Stock,USD,Common Stock,1220921111,2025-10-19 04:10:35.508215,1
APAM,NYSE,XNYS,Artisan Partners Asset Management Inc. Class A Common Stock,USD,Common Stock,70470817,2025-10-19 04:10:35.135611,1
APO,NYSE,XNYS,"Apollo Global Management, Inc. (New) Common Stock",USD,Common Stock,572026735,2025-10-19 04:10:35.518689,1
APLE,NYSE,XNYS,"Apple Hospitality REIT, Inc. Common Shares",USD,Common Stock,236989845,2025-10-19 04:10:35.516842,1
AQN,NYSE,XNYS,Algonquin Power & Utilities Corp. Common Shares,USD,Common Stock,768025001,2025-10-19 04:10:35.645507,1
APTV,NYSE,XNYS,Aptiv PLC Ordinary Shares,USD,Common Stock,217759811,2025-10-19 04:10:35.638535,1
AR,NYSE,XNYS,Antero Resources Corporation Common Stock,USD,Common Stock,308931000,2025-10-19 04:10:35.639143,1
ARCO,NYSE,XNYS,Arcos Dorados Holdings Inc. Class A Shares,USD,Common Stock,130663057,2025-10-19 04:10:36.082202,1
ARDC,NYSE,XNYS,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",USD,Common Stock,23872706,2025-10-19 04:10:36.202269,1
ARDT,NYSE,XNYS,"Ardent Health, Inc. Common Stock",USD,Common Stock,143106447,2025-10-19 04:10:36.053961,1
ARE,NYSE,XNYS,"Alexandria Real Estate Equities, Inc. Common Stock",USD,Common Stock,170721043,2025-10-19 04:10:36.081707,1
ARES,NYSE,XNYS,Ares Management Corporation Class A Common Stock,USD,Common Stock,215934693,2025-10-19 04:10:36.053168,1
ARL,NYSE,XNYS,"American Realty Investors, Inc. Common Stock",USD,Common Stock,16152043,2025-10-19 04:10:36.474052,1
ARLO,NYSE,XNYS,"Arlo Technologies, Inc. Common Stock",USD,Common Stock,104370654,2025-10-19 04:10:36.481335,1
ARI,NYSE,XNYS,"Apollo Commercial Real Estate Finance, Inc",USD,Common Stock,138943831,2025-10-19 04:10:36.168723,1
ARMK,NYSE,XNYS,Aramark Common Stock,USD,Common Stock,262850908,2025-10-19 04:10:36.485493,1
AROC,NYSE,XNYS,"Archrock, Inc. Common Stock",USD,Common Stock,175821435,2025-10-19 04:10:36.630044,1
ARX,NYSE,XNYS,Accelerant Holdings Class A Common Shares,USD,Common Stock,112745135,2025-10-19 04:10:36.908885,1
ARR,NYSE,XNYS,"ARMOUR Residential REIT, Inc.",USD,Common Stock,115340496,2025-10-19 04:10:36.908167,1
ARW,NYSE,XNYS,"Arrow Electronics, Inc. Common Stock",USD,Common Stock,51501705,2025-10-19 04:10:36.912347,1
AS,NYSE,XNYS,"Amer Sports, Inc. Ordinary Shares",USD,Common Stock,554571446,2025-10-19 04:10:36.916006,1
ASA,NYSE,XNYS,ASA  Gold and Precious Metals Limited,USD,Common Stock,18872332,2025-10-19 04:10:36.911891,1
ASB,NYSE,XNYS,Associated Banc-Corp Common Stock,USD,Common Stock,165848030,2025-10-19 04:10:37.018543,1
ASAN,NYSE,XNYS,"Asana, Inc. Class A Common Stock",USD,Common Stock,156685245,2025-10-19 04:10:37.036935,1
ASG,NYSE,XNYS,"Liberty All-Star Growth Fund, Inc.",USD,Common Stock,61958696,2025-10-19 04:10:37.152502,1
ASC,NYSE,XNYS,Ardmore Shipping Corporation Common Stock,USD,Common Stock,40694339,2025-10-19 04:10:37.158644,1
ASGI,NYSE,XNYS,abrdn Global Infrastructure Income Fund Common Shares of Beneficial Interest,USD,Common Stock,28944192,2025-10-19 04:10:37.165042,1
ASGN,NYSE,XNYS,ASGN Incorporated Common Stock,USD,Common Stock,43800000,2025-10-19 04:10:37.170388,1
ASH,NYSE,XNYS,Ashland Inc. Common Stock,USD,Common Stock,45705958,2025-10-19 04:10:37.595039,1
ASIC,NYSE,XNYS,Ategrity Specialty Insurance Company Holdings Common Stock,USD,Common Stock,48066674,2025-10-19 04:10:37.589192,1
ASIX,NYSE,XNYS,AdvanSix Inc. Common Stock ,USD,Common Stock,26844187,2025-10-19 04:10:37.289239,1
ASPN,NYSE,XNYS,"Aspen Aerogels, Inc. Common Stock",USD,Common Stock,82360491,2025-10-19 04:10:37.593649,1
ASR,NYSE,XNYS,"Grupo Aeroportuario del Sureste, S.A. de C.V. Common Stock",USD,Common Stock,27705000,2025-10-19 04:10:37.595906,1
ASX,NYSE,XNYS,"ASE Technology Holding Co., Ltd. American Depositary Shares (each representing Two Common Shares) ",USD,Common Stock,2174617116,2025-10-19 04:10:37.592778,1
ATGE,NYSE,XNYS,Adtalem Global Education Inc. Common Stock,USD,Common Stock,36331234,2025-10-19 04:10:37.701457,1
ATEN,NYSE,XNYS,"A10 Networks, Inc. Common Stock",USD,Common Stock,72152615,2025-10-19 04:10:37.718331,1
ATHM,NYSE,XNYS,"Autohome Inc. American Depositary Shares, each representing four class A ordinary shares.",USD,Common Stock,118443735,2025-10-19 04:10:37.825074,1
ATI,NYSE,XNYS,ATI Inc. Common Stock,USD,Common Stock,137832132,2025-10-19 04:10:37.848151,1
ATKR,NYSE,XNYS,Atkore Inc. Common Stock,USD,Common Stock,33655743,2025-10-19 04:10:37.962430,1
ATMU,NYSE,XNYS,Atmus Filtration Technologies Inc. Common Stock,USD,Common Stock,82151983,2025-10-19 04:10:38.058334,1
ATO,NYSE,XNYS,Atmos Energy Corporation Common Stock,USD,Common Stock,160523571,2025-10-19 04:10:37.953776,1
ATR,NYSE,XNYS,"AptarGroup, Inc. Common Stock",USD,Common Stock,65880522,2025-10-19 04:10:37.956488,1
ATS,NYSE,XNYS,ATS Corporation Common Shares,USD,Common Stock,96595792,2025-10-19 04:10:38.005242,1
ATUS,NYSE,XNYS,"Altice USA, Inc. Class A Common Stock",USD,Common Stock,284420951,2025-10-19 04:10:38.373547,1
AU,NYSE,XNYS,AngloGold Ashanti PLC Ordinary Shares,USD,Common Stock,504744430,2025-10-19 04:10:38.379329,1
AUB,NYSE,XNYS,Atlantic Union Bankshares Corporation Common Stock,USD,Common Stock,142511041,2025-10-19 04:10:38.502970,1
AUNA,NYSE,XNYS,Auna SA Class A Ordinary Shares,USD,Common Stock,30095388,2025-10-19 04:10:38.502349,1
AVA,NYSE,XNYS,Avista Corporation Common Stock,USD,Common Stock,81110750,2025-10-19 04:10:38.489353,1
AVAL,NYSE,XNYS,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),USD,Common Stock,1188172555,2025-10-19 04:10:38.593327,1
AVB,NYSE,XNYS,"AvalonBay Communities, Inc. Common Stock",USD,Common Stock,142383022,2025-10-19 04:10:38.507159,1
AVBC,NYSE,XNYS,"Avidia Bancorp, Inc. Common Stock",USD,Common Stock,20076250,2025-10-19 04:10:38.506193,1
AVD,NYSE,XNYS,American Vanguard Corporation Common Stock ($0.10 Par Value),USD,Common Stock,28431276,2025-10-19 04:10:38.505175,1
AVK,NYSE,XNYS,Advent Convertible and Income Fund,USD,Common Stock,44148745,2025-10-19 04:10:38.625879,1
AVNS,NYSE,XNYS,"Avanos Medical, Inc. Common Stock",USD,Common Stock,46402481,2025-10-19 04:10:38.669494,1
AVNT,NYSE,XNYS,Avient Corporation Common Stock,USD,Common Stock,91540567,2025-10-19 04:10:38.631442,1
